agegroup,group,participant,active_bool,localizationshift_deg
aging,aging_implicit,85,0,3.86236237247972
aging,aging_implicit,85,1,14.5530205799576
aging,aging_implicit,86,0,19.0822350822378
aging,aging_implicit,86,1,5.66374027640827
aging,aging_implicit,87,0,10.1477450432602
aging,aging_implicit,87,1,12.7480524999079
aging,aging_implicit,88,0,11.6940536494599
aging,aging_implicit,88,1,14.190296406834
aging,aging_implicit,89,0,7.05297587721476
aging,aging_implicit,89,1,9.9548833873786
aging,aging_implicit,90,0,12.0585918125087
aging,aging_implicit,90,1,7.83646303491742
aging,aging_implicit,91,0,0.507352657335898
aging,aging_implicit,91,1,6.30015192945811
aging,aging_implicit,92,0,9.15649937112079
aging,aging_implicit,92,1,7.04780194555586
aging,aging_implicit,93,0,27.4948662767641
aging,aging_implicit,93,1,20.4418437157058
aging,aging_implicit,94,0,21.6328073824532
aging,aging_implicit,94,1,23.3365725538133
aging,aging_implicit,95,0,5.7059546525629
aging,aging_implicit,95,1,16.6008872227515
aging,aging_implicit,96,0,4.69237224215948
aging,aging_implicit,96,1,2.70304731409412
aging,aging_implicit,97,0,17.515905663306
aging,aging_implicit,97,1,16.3027138357105
aging,aging_implicit,98,0,12.5106644464923
aging,aging_implicit,98,1,2.96270988557944
aging,aging_explicit,99,0,3.53367664944317
aging,aging_explicit,99,1,4.85535439386182
aging,aging_explicit,100,0,11.2922362772788
aging,aging_explicit,100,1,13.1044486851936
aging,aging_explicit,101,0,-7.9166170641532
aging,aging_explicit,101,1,-11.5296618749091
aging,aging_explicit,102,0,9.76969636311769
aging,aging_explicit,102,1,6.61913932866665
aging,aging_explicit,103,0,7.37135152398823
aging,aging_explicit,103,1,8.28531716001336
aging,aging_explicit,104,0,11.490338696895
aging,aging_explicit,104,1,10.9207036300539
aging,aging_explicit,105,0,4.64131817512656
aging,aging_explicit,105,1,4.042551322069
aging,aging_explicit,106,0,6.33851102806558
aging,aging_explicit,106,1,10.4885143414446
aging,aging_explicit,107,0,5.67225351551145
aging,aging_explicit,107,1,10.8666838295063
aging,aging_explicit,108,0,9.7426857236191
aging,aging_explicit,108,1,9.10337641278931
