group,participant,a025,a500,a975,p025,p500,p975
30implicit,1,32.6674741305745,33.5889700961851,34.475044431049,33.8881772782327,34.9225156338659,35.9741513468822
30implicit,2,3.4858619494677,3.53538009143632,3.59086404210212,2.90669856844218,2.96457257240549,3.02547460547277
30implicit,3,29.386875810821,29.8469722485961,30.4156227015695,28.986371154632,29.3358686778738,29.7092031775721
30implicit,4,21.2389727113456,21.7124440929229,22.2170037550359,15.9702981803704,16.2048979346111,16.4977645123153
30implicit,5,24.4289222801275,24.8126891794497,25.2117894500363,28.2410434445456,28.674063147203,28.9825483116706
30implicit,6,24.1618643175478,24.5925381920104,25.0750563026395,22.7504561052866,23.0844809245893,23.5685407339206
30implicit,7,28.8627594902314,29.3002594238494,29.8292393595626,28.0904635131212,28.5317193599798,29.2118548794546
30implicit,8,62.8475911534242,63.8070117407322,64.7397270021675,67.014188543798,68.0490381148988,69.2376724524374
30implicit,9,2.79829862789101,2.83245961331942,2.9140024648459,2.19927499527622,2.24719529343296,2.32027179664989
30implicit,10,45.7430762346522,46.7343899986733,47.3001999784812,47.2573111746982,48.0397782650772,48.74887585499
30implicit,11,23.1030035004589,23.5870905892971,24.2619986061585,19.2591906519915,19.5209341732293,19.8678692952927
30implicit,12,16.2344551215239,16.5102955189202,16.8530663200715,13.62392110021,13.8732492631096,14.1759210869561
30implicit,13,15.4725297658765,15.6255291207817,15.8357621527862,19.5266047063673,19.7874628200059,20.2235301278868
30implicit,14,14.7550926053071,15.2217749106168,15.5505415745214,15.6155581719454,15.9758192225763,16.2889052589606
30implicit,15,43.6036884960354,44.5055152640582,45.0149007470242,46.6629286759736,48.0212014852586,48.6946705134144
30explicit,16,5.85524289888516,5.96786228082307,6.08768014089408,4.84152447556536,4.91980102200847,5.00222169158728
30explicit,17,63.9611565255513,65.157095727287,66.0120518125873,67.0755978428278,68.2082285364544,69.3143453624969
30explicit,18,35.0425365051472,35.7585381317839,36.673735743726,33.6361903409504,34.007618609172,34.7681684901847
30explicit,19,15.9175277385999,16.3140964356909,16.7343472485151,16.4006316558591,16.7161990817327,17.0306624387793
30explicit,20,19.3496923651704,19.6066308202289,19.9930005190592,21.8093500022414,22.0911848008288,22.3963606857918
30explicit,21,5.35248078936323,5.49693192468269,5.59046395187993,6.610237460107,6.81916491449423,6.92188081896685
30explicit,22,11.378163420224,11.6585324378677,11.8817478330461,12.4154223501388,12.6684488577822,12.9260285681671
30explicit,23,11.7440056122518,11.9660193684109,12.189631389509,10.2485950449829,10.4465272510376,10.6533157462252
30explicit,24,2.58371259536792,2.64836001762144,2.71746513057102,2.135741674654,2.1780965235123,2.23379035914336
30explicit,25,32.6367315366983,33.1435003428169,33.6980290460989,32.1303207548347,32.8104797591929,33.375425770814
60implicit_b,26,73.2538036525126,75.616562573135,77.6861759186026,141.577121503073,144.145834108796,146.130868677013
60implicit_b,27,19.5162805699427,20.7894989775013,21.7024038633942,13.3696620408093,13.562958839175,13.7454214362852
