agegroup,group,participant,active_bool,localizationshift_deg
cntrl,60explicit_b,56,1,8.79701493990358
cntrl,60explicit_b,57,0,-1.47423165591491
cntrl,60explicit_b,57,1,2.52385896182782
cntrl,60explicit_b,58,0,3.89944505601778
cntrl,60explicit_b,58,1,3.85271161754074
cntrl,60explicit_b,59,0,4.329437575223
cntrl,60explicit_b,59,1,2.05853946266549
cntrl,60explicit_b,60,0,3.44692859468858
cntrl,60explicit_b,60,1,6.48776038198484
cntrl,60explicit_b,61,0,-1.61230232190033
cntrl,60explicit_b,61,1,7.46297474969322
cntrl,60explicit_b,62,0,4.75970611942035
cntrl,60explicit_b,62,1,3.73951082669984
cntrl,60explicit_b,63,0,1.261613065918
cntrl,60explicit_b,63,1,5.34804580708301
cntrl,60explicit_b,64,0,-2.48573864483117
cntrl,60explicit_b,64,1,7.29770653388949
cntrl,60explicit_b,65,0,6.90091667355771
cntrl,60explicit_b,65,1,9.16670967274989
cntrl,60explicit_b,66,0,6.15985059065758
cntrl,60explicit_b,66,1,8.47687595604688
cntrl,cursorjump,67,0,7.67806005561315
cntrl,cursorjump,67,1,9.44935147112538
cntrl,cursorjump,68,0,3.71124196272003
cntrl,cursorjump,68,1,3.81612995182756
cntrl,cursorjump,69,0,10.916076229168
cntrl,cursorjump,69,1,9.76740354503329
cntrl,cursorjump,70,0,3.5477426631858
cntrl,cursorjump,70,1,6.83717650128616
cntrl,cursorjump,71,0,4.50459635006341
cntrl,cursorjump,71,1,4.6393825973558
cntrl,cursorjump,72,0,1.97681109118372
cntrl,cursorjump,72,1,7.25922044618911
cntrl,cursorjump,73,0,3.37267519583473
cntrl,cursorjump,73,1,4.86660263139609
cntrl,cursorjump,74,0,3.93201176323065
cntrl,cursorjump,74,1,7.83720652272241
cntrl,cursorjump,75,0,-2.02489553593889
cntrl,cursorjump,75,1,-2.70808560484412
cntrl,cursorjump,76,0,-4.34774654221998
cntrl,cursorjump,76,1,1.94243278051307
cntrl,cursorjump,77,0,-3.73947378937008
cntrl,cursorjump,77,1,-4.28781773405847
cntrl,cursorjump,78,0,7.49263701606436
cntrl,cursorjump,78,1,8.98944163197178
cntrl,cursorjump,79,0,11.5306152730865
cntrl,cursorjump,79,1,10.2920596401481
cntrl,cursorjump,80,0,2.10637476198576
cntrl,cursorjump,80,1,1.76538931871868
cntrl,cursorjump,81,0,2.6936512636106
cntrl,cursorjump,81,1,5.64746683737639
cntrl,cursorjump,82,0,6.45783388552176
cntrl,cursorjump,82,1,3.9888968681495
cntrl,cursorjump,83,0,5.00004556390318
cntrl,cursorjump,83,1,7.49699877910005
cntrl,cursorjump,84,0,0.989982329464435
cntrl,cursorjump,84,1,-0.458238051529598
