agegroup,group,participant,block,trial,active_bool,handangle_deg,localization_deg,RT_ms
cntrl,30implicit,1,1,49,1,43.5521418304794,47.919593440266,2899
cntrl,30implicit,1,1,50,1,114.904830123006,133.08404593228,2979
cntrl,30implicit,1,1,52,1,63.8131734705329,75.2826545053742,3583
cntrl,30implicit,1,1,53,1,40.368231644646,48.1369107373965,4374
cntrl,30implicit,1,1,54,1,115.829098156873,133.964804603577,3165
cntrl,30implicit,1,1,55,1,48.7969683960738,48.6568373794887,2939
cntrl,30implicit,1,1,56,1,112.427179029182,130.745053101386,3565
cntrl,30implicit,1,1,57,1,63.9987230831093,75.5759424351015,2863
cntrl,30implicit,1,1,58,1,47.2637541235586,48.2123592991866,2525
cntrl,30implicit,1,1,59,1,133.883566623236,134.199844955433,3839
cntrl,30implicit,1,1,60,1,79.8864108762383,93.7524510329471,3033
cntrl,30implicit,1,1,61,1,84.1779534799144,94.5005758808028,3237
cntrl,30implicit,1,1,62,1,50.9511909132119,49.7598068643779,2735
cntrl,30implicit,1,2,118,1,122.962688550678,134.762204423553,4513
cntrl,30implicit,1,2,119,1,85.270363739719,95.0567278586236,2916
cntrl,30implicit,1,2,120,1,44.5897235315081,47.9685178315798,2429
cntrl,30implicit,1,2,121,1,128.450111901634,134.789348752952,2581
cntrl,30implicit,1,2,122,1,74.236848149786,92.8546324199359,3412
cntrl,30implicit,1,2,123,1,54.30304871707,53.8738550991766,1998
cntrl,30implicit,1,2,124,1,125.934725613532,134.697313265348,1980
cntrl,30implicit,1,2,126,1,84.6042005642046,94.83310048523,2135
cntrl,30implicit,1,2,127,1,84.692637130937,94.6483382422045,1959
cntrl,30implicit,1,2,129,1,42.8457632613787,47.7125259691932,2258
cntrl,30implicit,1,2,130,1,58.4665963710377,62.8881490614099,2482
cntrl,30implicit,1,2,131,1,87.4266040710392,96.1789268872015,2099
cntrl,30implicit,1,2,132,1,121.663023309,134.960136990917,3290
cntrl,30implicit,1,2,133,1,59.8420262467723,66.584592348482,2282
cntrl,30implicit,1,2,134,1,114.888098620804,133.037158509809,1958
cntrl,30implicit,1,2,135,1,78.5884577518305,93.7721612960066,2060
cntrl,30implicit,1,3,191,1,52.34133239911,51.1257483932759,1940
cntrl,30implicit,1,3,192,1,82.8383213890819,94.19356599865,1940
cntrl,30implicit,1,3,193,1,77.383880222721,93.67465153854,1999
cntrl,30implicit,1,3,194,1,41.473720142106,47.8896650106709,3679
cntrl,30implicit,1,3,195,1,120.661996859477,134.807925488224,1819
cntrl,30implicit,1,3,196,1,52.6049114216268,51.4593242703278,1879
cntrl,30implicit,1,3,197,1,91.6147913399287,99.7125514624207,2019
cntrl,30implicit,1,3,198,1,128.359914032589,134.78473033918,2271
cntrl,30implicit,1,3,199,1,79.9510373831931,93.8586055268293,1839
cntrl,30implicit,1,3,200,1,41.5894185910419,47.8346778413291,1917
cntrl,30implicit,1,3,201,1,114.70026194828,133.120396050935,1859
cntrl,30implicit,1,3,202,1,51.5752904004778,50.8496367228978,1859
cntrl,30implicit,1,3,203,1,116.005195524777,134.029174273034,2693
cntrl,30implicit,1,3,204,1,74.0602835714424,92.2218813825528,2861
cntrl,30implicit,1,3,205,1,82.1299183411777,94.050380824727,1995
cntrl,30implicit,1,3,206,1,35.3282034796853,48.6940928403994,1919
cntrl,30implicit,1,3,207,1,130.845015467523,134.609721960775,2193
cntrl,30implicit,1,4,262,1,49.4377016540074,48.8041461591684,2600
cntrl,30implicit,1,4,263,1,92.9075051598971,101.572498038124,2880
cntrl,30implicit,1,4,264,1,128.917076131535,134.609858987859,1799
cntrl,30implicit,1,4,265,1,68.8617085005771,87.1798586981051,2811
cntrl,30implicit,1,4,266,1,44.4652532105883,47.6591368370081,2340
cntrl,30implicit,1,4,267,1,133.774165108392,135.394826621715,3993
cntrl,30implicit,1,4,268,1,38.719510583676,47.803610756388,2918
cntrl,30implicit,1,4,269,1,86.762117621866,95.7305722535431,2623
cntrl,30implicit,1,4,270,1,136.849073786661,133.957537945266,1925
cntrl,30implicit,1,4,271,1,43.9492952788922,47.8563227606608,1975
cntrl,30implicit,1,4,272,1,95.7041398355921,105.224261079025,2000
cntrl,30implicit,1,4,273,1,123.575089528086,134.697538576527,1800
cntrl,30implicit,1,4,274,1,75.3625944703305,93.1737599138628,1980
cntrl,30implicit,1,4,275,1,122.798260481368,134.976962692851,2419
cntrl,30implicit,1,4,276,1,38.8525208117552,47.9062999352724,2696
cntrl,30implicit,1,4,277,1,91.1678475587568,97.8976151745756,3632
cntrl,30implicit,1,4,278,1,124.458784744926,134.927472920233,1900
cntrl,30implicit,1,4,279,1,44.9684171654485,47.670437713734,1930
cntrl,30implicit,1,1,73,0,111.190993948456,129.555620137139,2238
cntrl,30implicit,1,1,74,0,78.4697498037375,93.5458091621815,1878
cntrl,30implicit,1,1,75,0,52.3224413935357,51.2156993604349,1959
cntrl,30implicit,1,1,76,0,46.2458419268949,47.8600340082284,1919
cntrl,30implicit,1,1,77,0,114.001575199241,132.340716055043,1939
cntrl,30implicit,1,1,78,0,68.3021639533059,85.5774111059358,1999
cntrl,30implicit,1,1,79,0,65.0382221922877,78.3031636417865,1919
cntrl,30implicit,1,1,80,0,41.4131285064526,47.3264007304142,1959
cntrl,30implicit,1,1,81,0,116.365547413624,134.011199060356,1919
cntrl,30implicit,1,1,82,0,49.0555408345461,48.5750041944826,2140
cntrl,30implicit,1,1,83,0,113.748944476264,132.254118487105,1929
cntrl,30implicit,1,1,84,0,67.300140071863,83.427304465801,3172
cntrl,30implicit,1,1,85,0,47.4956435184983,48.3090180167541,2079
cntrl,30implicit,1,1,86,0,133.12871303266,134.416947597228,1859
cntrl,30implicit,1,1,87,0,78.3670396655443,93.7656577330662,2060
cntrl,30implicit,1,1,88,0,82.3321632891171,94.1990892781303,2857
cntrl,30implicit,1,1,89,0,50.9967610744468,49.8993582326388,2160
cntrl,30implicit,1,1,90,0,119.085628190001,134.678888857989,1860
cntrl,30implicit,1,2,145,0,121.367580818051,134.850832009631,2059
cntrl,30implicit,1,2,146,0,84.2467865067596,94.6733749564199,1880
cntrl,30implicit,1,2,147,0,47.2513425088204,48.1921039805395,1839
cntrl,30implicit,1,2,148,0,127.886388256272,134.650469934564,2044
cntrl,30implicit,1,2,149,0,75.4372092622866,92.9192350162475,1899
cntrl,30implicit,1,2,150,0,54.2253911061492,53.8991507731715,2019
cntrl,30implicit,1,2,151,0,125.756771444827,134.718780057277,1780
cntrl,30implicit,1,2,153,0,85.8319980472971,95.0495289844608,1819
cntrl,30implicit,1,2,154,0,84.8252106309415,94.8105502509031,1802
cntrl,30implicit,1,2,155,0,120.44432684615,134.781766865296,1839
cntrl,30implicit,1,2,157,0,59.1145458433551,64.0586789389522,1854
cntrl,30implicit,1,2,158,0,88.4034895702934,96.4877216440968,1849
cntrl,30implicit,1,2,159,0,120.894265338795,134.716457598739,1781
